bottleneck,treatment,timepoint,pfu,pfu.lower,pfu.upper,cfu,cfu.lower,cfu.upper
4,crisprN,t3,7.28E+03,6.39E+02,8.28E+04,1.83E+08,4.33E+06,7.75E+09
5,crisprN,t3,3.11E+01,2.73E+00,3.54E+02,1.21E+08,2.87E+06,5.13E+09
6,crisprN,t3,1.17E+01,1.03E+00,1.33E+02,2.57E+08,6.08E+06,1.09E+10
7,crisprN,t3,1.00E+00,8.79E-02,1.14E+01,3.48E+06,8.22E+04,1.47E+08
8,crisprN,t3,1.00E+00,8.79E-02,1.14E+01,1.70E+03,4.01E+01,7.17E+04
9,crisprN,t3,1.00E+00,8.79E-02,1.14E+01,1.00E+00,2.36E-02,4.23E+01
2,crisprN,t4,3.43E+01,3.01E+00,3.91E+02,4.39E+08,1.04E+07,1.86E+10
3,crisprN,t4,5.86E+00,5.15E-01,6.67E+01,2.59E+08,6.11E+06,1.09E+10
4,crisprN,t4,1.13E+03,9.93E+01,1.29E+04,2.97E+08,7.02E+06,1.26E+10
5,crisprN,t4,1.00E+00,8.79E-02,1.14E+01,1.82E+08,4.31E+06,7.70E+09
6,crisprN,t4,1.00E+00,8.79E-02,1.14E+01,9.59E+07,2.27E+06,4.06E+09
7,crisprN,t4,1.00E+00,8.79E-02,1.14E+01,3.13E+06,7.41E+04,1.32E+08
8,crisprN,t4,1.00E+00,8.79E-02,1.14E+01,1.00E+00,2.36E-02,4.23E+01
9,crisprN,t4,1.00E+00,8.79E-02,1.14E+01,1.00E+00,2.36E-02,4.23E+01
2,crisprN,t5,7.84E+01,6.89E+00,8.92E+02,3.28E+08,7.76E+06,1.39E+10
3,crisprN,t5,1.00E+00,8.79E-02,1.14E+01,8.54E+08,2.02E+07,3.61E+10
4,crisprN,t5,2.62E+01,2.30E+00,2.98E+02,2.15E+08,5.09E+06,9.11E+09
5,crisprN,t5,1.00E+00,8.79E-02,1.14E+01,2.80E+08,6.62E+06,1.18E+10
6,crisprN,t5,1.00E+00,8.79E-02,1.14E+01,1.36E+08,3.22E+06,5.75E+09
7,crisprN,t5,1.00E+00,8.79E-02,1.14E+01,3.59E+06,8.48E+04,1.52E+08
8,crisprN,t5,1.00E+00,8.79E-02,1.14E+01,1.00E+00,2.36E-02,4.23E+01
9,crisprN,t5,1.00E+00,8.79E-02,1.14E+01,1.00E+00,2.36E-02,4.23E+01
