Clone,Bottleneck,Replicate,Phenotype
21,1000000,1,CRISPR
22,1000000,1,CRISPR
23,1000000,1,CRISPR
24,1000000,1,CRISPR
1,1000000,2,CRISPR
2,1000000,2,CRISPR
3,1000000,2,CRISPR
4,1000000,2,CRISPR
5,1000000,2,Sensitive
6,1000000,2,CRISPR
7,1000000,2,CRISPR
8,1000000,2,CRISPR
9,1000000,2,CRISPR
10,1000000,2,CRISPR
11,1000000,2,SM
12,1000000,2,SM
13,1000000,2,CRISPR
14,1000000,2,CRISPR
15,1000000,2,CRISPR
16,1000000,2,CRISPR
17,1000000,2,CRISPR
18,1000000,2,CRISPR
19,1000000,2,CRISPR
20,1000000,2,CRISPR
21,1000000,2,CRISPR
22,1000000,2,CRISPR
23,1000000,2,CRISPR
24,1000000,2,CRISPR
1,1000000,3,CRISPR
2,1000000,3,CRISPR
3,1000000,3,CRISPR
4,1000000,3,CRISPR
5,1000000,3,CRISPR
6,1000000,3,CRISPR
7,1000000,3,CRISPR
8,1000000,3,CRISPR
9,1000000,3,CRISPR
10,1000000,3,CRISPR
11,1000000,3,CRISPR
12,1000000,3,SM
13,1000000,3,CRISPR
14,1000000,3,CRISPR
15,1000000,3,CRISPR
16,1000000,3,CRISPR
17,1000000,3,SM
18,1000000,3,CRISPR
19,1000000,3,CRISPR
20,1000000,3,CRISPR
21,1000000,3,CRISPR
22,1000000,3,CRISPR
23,1000000,3,CRISPR
24,1000000,3,SM
1,1000000,4,CRISPR
2,1000000,4,CRISPR
3,1000000,4,CRISPR
4,1000000,4,SM
5,1000000,4,CRISPR
6,1000000,4,Sensitive
7,1000000,4,CRISPR
8,1000000,4,CRISPR
9,1000000,4,CRISPR
10,1000000,4,SM
11,1000000,4,CRISPR
12,1000000,4,CRISPR
13,1000000,4,CRISPR
14,1000000,4,SM
15,1000000,4,SM
16,1000000,4,SM
17,1000000,4,CRISPR
18,1000000,4,CRISPR
19,1000000,4,CRISPR
20,1000000,4,CRISPR
21,1000000,4,CRISPR
22,1000000,4,CRISPR
23,1000000,4,Sensitive
24,1000000,4,Sensitive
1,1000000,5,Sensitive
2,1000000,5,CRISPR
3,1000000,5,CRISPR
4,1000000,5,CRISPR
5,1000000,5,CRISPR
6,1000000,5,CRISPR
7,1000000,5,CRISPR
8,1000000,5,SM
9,1000000,5,Sensitive
10,1000000,5,CRISPR
11,1000000,5,SM
12,1000000,5,CRISPR
13,1000000,5,CRISPR
14,1000000,5,SM
15,1000000,5,CRISPR
16,1000000,5,CRISPR
17,1000000,5,CRISPR
18,1000000,5,SM
19,1000000,5,CRISPR
20,1000000,5,Sensitive
21,1000000,5,SM
22,1000000,5,CRISPR
23,1000000,5,CRISPR
24,1000000,5,CRISPR
1,1000000,6,SM
2,1000000,6,SM
3,1000000,6,SM
4,1000000,6,CRISPR
5,1000000,6,CRISPR
6,1000000,6,CRISPR
7,1000000,6,CRISPR
8,1000000,6,CRISPR
9,1000000,6,SM
10,1000000,6,CRISPR
11,1000000,6,CRISPR
12,1000000,6,CRISPR
13,1000000,6,CRISPR
14,1000000,6,CRISPR
15,1000000,6,CRISPR
16,1000000,6,CRISPR
17,1000000,6,CRISPR
18,1000000,6,SM
19,1000000,6,CRISPR
20,1000000,6,CRISPR
21,1000000,6,SM
22,1000000,6,CRISPR
23,1000000,6,CRISPR
24,1000000,6,CRISPR
1,10000000,1,CRISPR
2,10000000,1,SM
3,10000000,1,SM
4,10000000,1,SM
5,10000000,1,SM
6,10000000,1,SM
7,10000000,1,CRISPR
8,10000000,1,CRISPR
9,10000000,1,CRISPR
10,10000000,1,Sensitive
11,10000000,1,CRISPR
12,10000000,1,CRISPR
13,10000000,1,Sensitive
14,10000000,1,Sensitive
15,10000000,1,Sensitive
16,10000000,1,CRISPR
17,10000000,1,SM
18,10000000,1,CRISPR
19,10000000,1,CRISPR
20,10000000,1,CRISPR
21,10000000,1,CRISPR
22,10000000,1,Sensitive
23,10000000,1,Sensitive
24,10000000,1,Sensitive
1,10000000,2,CRISPR
2,10000000,2,CRISPR
3,10000000,2,SM
4,10000000,2,CRISPR
5,10000000,2,Sensitive
6,10000000,2,CRISPR
7,10000000,2,SM
8,10000000,2,CRISPR
9,10000000,2,SM
10,10000000,2,Sensitive
11,10000000,2,Sensitive
12,10000000,2,CRISPR
13,10000000,2,CRISPR
14,10000000,2,CRISPR
15,10000000,2,CRISPR
16,10000000,2,SM
17,10000000,2,CRISPR
18,10000000,2,CRISPR
19,10000000,2,Sensitive
20,10000000,2,SM
21,10000000,2,CRISPR
22,10000000,2,CRISPR
23,10000000,2,CRISPR
24,10000000,2,CRISPR
1,10000000,3,CRISPR
2,10000000,3,Sensitive
3,10000000,3,Sensitive
4,10000000,3,CRISPR
5,10000000,3,CRISPR
6,10000000,3,Sensitive
7,10000000,3,CRISPR
8,10000000,3,CRISPR
9,10000000,3,CRISPR
10,10000000,3,Sensitive
11,10000000,3,CRISPR
12,10000000,3,CRISPR
13,10000000,3,CRISPR
14,10000000,3,SM
15,10000000,3,CRISPR
16,10000000,3,CRISPR
17,10000000,3,CRISPR
18,10000000,3,SM
19,10000000,3,CRISPR
20,10000000,3,Sensitive
21,10000000,3,Sensitive
22,10000000,3,CRISPR
23,10000000,3,CRISPR
24,10000000,3,CRISPR
1,10000000,4,CRISPR
2,10000000,4,CRISPR
3,10000000,4,CRISPR
4,10000000,4,CRISPR
5,10000000,4,CRISPR
